[INFO] Rekord: sel100, Lead-y: ['MLII', 'V5']
[INFO] Rekord: sel102, Lead-y: ['V5', 'V2']
[INFO] Rekord: sel103, Lead-y: ['MLII', 'V2']
[INFO] Rekord: sel104, Lead-y: ['V5', 'V2']
[INFO] Rekord: sel114, Lead-y: ['V5', 'MLII']
[INFO] Rekord: sel116, Lead-y: ['MLII', 'V1']
[INFO] Rekord: sel117, Lead-y: ['MLII', 'V2']
[INFO] Rekord: sel123, Lead-y: ['MLII', 'V5']
[INFO] Rekord: sel14046, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel14157, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel14172, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel15814, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel16265, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel16272, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel16273, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel16420, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel16483, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel16539, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel16773, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel16786, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel16795, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel17152, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel17453, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel213, Lead-y: ['MLII', 'V1']
[INFO] Rekord: sel221, Lead-y: ['MLII', 'V1']
[INFO] Rekord: sel223, Lead-y: ['MLII', 'V1']
[INFO] Rekord: sel230, Lead-y: ['MLII', 'V1']
[INFO] Rekord: sel231, Lead-y: ['MLII', 'V1']
[INFO] Rekord: sel232, Lead-y: ['MLII', 'V1']
[INFO] Rekord: sel233, Lead-y: ['MLII', 'V1']
[INFO] Rekord: sel30, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel301, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel302, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel306, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel307, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel308, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel31, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel310, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel32, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel33, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel34, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel35, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel36, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel37, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel38, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel39, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel40, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel41, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel42, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel43, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel44, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel45, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel46, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel47, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel48, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel49, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel50, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel51, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel52, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel803, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel808, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel811, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel820, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel821, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel840, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel847, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel853, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel871, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel872, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel873, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel883, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sel891, Lead-y: ['ECG1', 'ECG2']
[INFO] Rekord: sele0104, Lead-y: ['D3', 'D4']
[INFO] Rekord: sele0106, Lead-y: ['D3', 'V3']
[INFO] Rekord: sele0107, Lead-y: ['D3', 'V4']
[INFO] Rekord: sele0110, Lead-y: ['V3', 'D3']
[INFO] Rekord: sele0111, Lead-y: ['D3', 'V4']
[INFO] Rekord: sele0112, Lead-y: ['D3', 'V4']
[INFO] Rekord: sele0114, Lead-y: ['D3', 'V4']
[INFO] Rekord: sele0116, Lead-y: ['V4', 'D3']
